winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
luigi,sheik,710,327,1037,68.47,31.53
bayonetta,jigglypuff,1939,915,2854,67.94,32.06
steve,kirby,2027,959,2986,67.88,32.12
simon,piranhaplant,213,101,314,67.83,32.17
luigi,kirby,2027,969,2996,67.66,32.34
ken,sheik,456,218,674,67.66,32.34
steve,darkpit,1160,555,1715,67.64,32.36
snake,kirby,2167,1042,3209,67.53,32.47
steve,sheik,785,378,1163,67.50,32.50
snake,sheik,1000,483,1483,67.43,32.57
ken,sephiroth,1015,493,1508,67.31,32.69
steve,pit,715,351,1066,67.07,32.93
minmin,sephiroth,1886,930,2816,66.97,33.03
ken,marth,449,223,672,66.82,33.18
kazuya,sheik,761,379,1140,66.75,33.25
simon,random,68,34,102,66.67,33.33
littlemac,lucario,638,321,959,66.53,33.47
steve,lucina,2492,1254,3746,66.52,33.48
richter,lucina,739,374,1113,66.40,33.60
kingdedede,marth,834,425,1259,66.24,33.76
steve,random,758,388,1146,66.14,33.86
bayonetta,lucina,1757,904,2661,66.03,33.97
steve,mewtwo,1242,640,1882,65.99,34.01
minmin,random,401,207,608,65.95,34.05
kingdedede,lucina,2102,1094,3196,65.77,34.23
iceclimbers,wario,491,256,747,65.73,34.27
steve,jigglypuff,3047,1594,4641,65.65,34.35
minmin,kirby,1260,660,1920,65.63,34.38
ganondorf,lucario,708,371,1079,65.62,34.38
ken,darkpit,423,222,645,65.58,34.42
minmin,sora,1589,838,2427,65.47,34.53
kazuya,marth,1086,573,1659,65.46,34.54
ken,wolf,1892,999,2891,65.44,34.56
steve,mrgameandwatch,3617,1914,5531,65.40,34.60
simon,marth,134,71,205,65.37,34.63
bayonetta,sheik,581,310,891,65.21,34.79
simon,incineroar,289,155,444,65.09,34.91
simon,kirby,192,103,295,65.08,34.92
simon,lucas,257,138,395,65.06,34.94
wiifittrainer,random,350,188,538,65.06,34.94
minmin,lucina,1525,824,2349,64.92,35.08
steve,marth,893,483,1376,64.90,35.10
snake,piranhaplant,1639,888,2527,64.86,35.14
luigi,marth,1070,580,1650,64.85,35.15
richter,marth,272,148,420,64.76,35.24
steve,piranhaplant,1505,819,2324,64.76,35.24
duckhunt,isabelle,495,270,765,64.71,35.29
miigunner,random,201,110,311,64.63,35.37
snake,lucina,3232,1772,5004,64.59,35.41
duckhunt,jigglypuff,880,483,1363,64.56,35.44
bayonetta,byleth,1692,932,2624,64.48,35.52
minmin,chrom,572,316,888,64.41,35.59
snake,jigglypuff,2800,1548,4348,64.40,35.60
luigi,jigglypuff,2995,1660,4655,64.34,35.66
richter,kirby,519,288,807,64.31,35.69
minmin,littlemac,2137,1186,3323,64.31,35.69
snake,marth,1096,610,1706,64.24,35.76
ken,joker,2627,1463,4090,64.23,35.77
kazuya,random,563,315,878,64.12,35.88
terry,olimar,672,376,1048,64.12,35.88
iceclimbers,pichu,327,183,510,64.12,35.88
pacman,kirby,1363,763,2126,64.11,35.89
minmin,incineroar,1701,954,2655,64.07,35.93
bowserjr,pit,371,209,580,63.97,36.03
wiifittrainer,marth,581,328,909,63.92,36.08
simon,younglink,311,176,487,63.86,36.14
pacman,jigglypuff,2216,1255,3471,63.84,36.16
kazuya,lucina,1954,1109,3063,63.79,36.21
richter,lucas,646,367,1013,63.77,36.23
miigunner,sheik,197,112,309,63.75,36.25
luigi,fox,2042,1162,3204,63.73,36.27
ken,pokemontrainer,1683,958,2641,63.73,36.27
minmin,byleth,1646,937,2583,63.72,36.28
sonic,marth,919,524,1443,63.69,36.31
richter,darkpit,278,159,437,63.62,36.38
luigi,wario,1580,904,2484,63.61,36.39
robin,sora,1130,647,1777,63.59,36.41
duckhunt,darkpit,391,224,615,63.58,36.42
minmin,joker,4245,2440,6685,63.50,36.50
steve,bowser,4686,2698,7384,63.46,36.54
kingdedede,kirby,1947,1122,3069,63.44,36.56
ken,corrin,669,386,1055,63.41,36.59
richter,corrin,368,213,581,63.34,36.66
duckhunt,byleth,745,433,1178,63.24,36.76
snake,joker,7393,4312,11705,63.16,36.84
kazuya,piranhaplant,1212,707,1919,63.16,36.84
ken,pit,310,181,491,63.14,36.86
miiswordfighter,olimar,214,125,339,63.13,36.87
duckhunt,mewtwo,426,249,675,63.11,36.89
miigunner,marth,195,114,309,63.11,36.89
kazuya,pit,573,335,908,63.11,36.89
luigi,darkpit,1033,604,1637,63.10,36.90
richter,random,169,99,268,63.06,36.94
rob,random,687,403,1090,63.03,36.97
steve,joker,5045,2971,8016,62.94,37.06
richter,incineroar,691,407,1098,62.93,37.07
miibrawler,random,329,194,523,62.91,37.09
kingkrool,marth,872,518,1390,62.73,37.27
yoshi,sheik,848,504,1352,62.72,37.28
simon,lucina,309,184,493,62.68,37.32
rob,kirby,2515,1499,4014,62.66,37.34
lucario,lucina,755,450,1205,62.66,37.34
steve,rosalina,738,440,1178,62.65,37.35
snake,sora,1977,1179,3156,62.64,37.36
mewtwo,marth,452,270,722,62.60,37.40
minmin,pyra,3286,1964,5250,62.59,37.41
snake,daisy,644,385,1029,62.59,37.41
bowserjr,marth,423,253,676,62.57,37.43
bayonetta,villager,593,355,948,62.55,37.45
metaknight,lucina,830,497,1327,62.55,37.45
rob,inkling,4353,2607,6960,62.54,37.46
sonic,pit,519,311,830,62.53,37.47
snake,link,3415,2055,5470,62.43,37.57
pacman,pichu,855,515,1370,62.41,37.59
miigunner,joker,1336,805,2141,62.40,37.60
duckhunt,lucina,875,528,1403,62.37,37.63
ryu,pokemontrainer,973,588,1561,62.33,37.67
steve,kingkrool,3460,2091,5551,62.33,37.67
rob,byleth,3034,1834,4868,62.33,37.67
donkeykong,random,708,428,1136,62.32,37.68
mrgameandwatch,lucina,2562,1549,4111,62.32,37.68
luigi,lucina,2886,1746,4632,62.31,37.69
duckhunt,villager,294,178,472,62.29,37.71
wiifittrainer,jigglypuff,1577,955,2532,62.28,37.72
ken,lucina,1164,705,1869,62.28,37.72
miigunner,lucina,543,329,872,62.27,37.73
snake,mewtwo,1432,868,2300,62.26,37.74
wiifittrainer,piranhaplant,983,598,1581,62.18,37.82
ryu,sheik,235,143,378,62.17,37.83
darksamus,kirby,660,402,1062,62.15,37.85
rob,marth,1148,700,1848,62.12,37.88
pacman,darkpit,892,545,1437,62.07,37.93
simon,iceclimbers,103,63,166,62.05,37.95
bowserjr,random,322,197,519,62.04,37.96
steve,inkling,2816,1723,4539,62.04,37.96
richter,byleth,536,328,864,62.04,37.96
robin,random,310,190,500,62.00,38.00
kingdedede,sheik,584,358,942,62.00,38.00
peach,lucina,1184,726,1910,61.99,38.01
luigi,roy,2617,1605,4222,61.98,38.02
ryu,random,119,73,192,61.98,38.02
luigi,littlemac,2321,1424,3745,61.98,38.02
rob,wolf,5438,3338,8776,61.96,38.04
sora,lucina,1464,899,2363,61.96,38.04
richter,joker,1595,980,2575,61.94,38.06
iceclimbers,pikachu,864,531,1395,61.94,38.06
peach,sheik,353,217,570,61.93,38.07
terry,lucina,2833,1742,4575,61.92,38.08
minmin,younglink,1562,961,2523,61.91,38.09
snake,roy,3327,2052,5379,61.85,38.15
bowserjr,lucina,1172,723,1895,61.85,38.15
iceclimbers,lucina,773,477,1250,61.84,38.16
rob,lucas,2883,1781,4664,61.81,38.19
duckhunt,sheik,259,160,419,61.81,38.19
kingdedede,piranhaplant,1460,903,2363,61.79,38.21
ken,lucario,391,242,633,61.77,38.23
steve,wario,1622,1004,2626,61.77,38.23
minmin,mewtwo,840,520,1360,61.76,38.24
ken,random,281,174,455,61.76,38.24
luigi,byleth,2435,1508,3943,61.76,38.24
terry,random,652,404,1056,61.74,38.26
steve,pichu,930,577,1507,61.71,38.29
luigi,falco,2810,1745,4555,61.69,38.31
greninja,lucina,1961,1218,3179,61.69,38.31
richter,rosalina,206,128,334,61.68,38.32
minmin,marth,690,429,1119,61.66,38.34
robin,lucina,1288,801,2089,61.66,38.34
minmin,lucario,662,412,1074,61.64,38.36
rob,pit,1013,631,1644,61.62,38.38
minmin,sheik,754,470,1224,61.60,38.40
luigi,captainfalcon,3332,2078,5410,61.59,38.41
ken,younglink,1075,671,1746,61.57,38.43
banjokazooie,piranhaplant,1047,654,1701,61.55,38.45
snake,random,619,387,1006,61.53,38.47
miigunner,kirby,470,294,764,61.52,38.48
steve,byleth,2956,1850,4806,61.51,38.49
ike,lucina,1979,1239,3218,61.50,38.50
rob,lucario,1241,777,2018,61.50,38.50
pacman,joker,3849,2410,6259,61.50,38.50
rob,joker,7153,4479,11632,61.49,38.51
richter,sora,420,263,683,61.49,38.51
luigi,pit,822,515,1337,61.48,38.52
steve,pikachu,2759,1729,4488,61.48,38.52
terry,sheik,836,524,1360,61.47,38.53
wiifittrainer,sheik,536,336,872,61.47,38.53
megaman,rosalina,287,180,467,61.46,38.54
ken,toonlink,735,461,1196,61.45,38.55
kingdedede,byleth,2316,1453,3769,61.45,38.55
ridley,lucina,1490,935,2425,61.44,38.56
snake,corrin,1473,925,2398,61.43,38.57
minmin,kingkrool,2313,1453,3766,61.42,38.58
kingdedede,jigglypuff,2778,1746,4524,61.41,38.59
richter,kingkrool,943,593,1536,61.39,38.61
richter,wolf,1507,948,2455,61.38,38.62
kazuya,darkpit,937,590,1527,61.36,38.64
terry,darkpit,1151,725,1876,61.35,38.65
bayonetta,link,2043,1287,3330,61.35,38.65
toonlink,random,298,188,486,61.32,38.68
ken,kingkrool,1483,936,2419,61.31,38.69
hero,villager,678,428,1106,61.30,38.70
richter,kingdedede,955,603,1558,61.30,38.70
robin,kirby,848,536,1384,61.27,38.73
ken,captainfalcon,1648,1042,2690,61.26,38.74
richter,sephiroth,489,310,799,61.20,38.80
minmin,cloud,3247,2059,5306,61.19,38.81
donkeykong,marth,1077,683,1760,61.19,38.81
steve,lucario,845,536,1381,61.19,38.81
richter,captainfalcon,890,565,1455,61.17,38.83
richter,pacman,808,513,1321,61.17,38.83
ridley,marth,655,416,1071,61.16,38.84
samus,kirby,1511,960,2471,61.15,38.85
kingdedede,joker,4511,2867,7378,61.14,38.86
steve,peach,1268,806,2074,61.14,38.86
rob,piranhaplant,1944,1236,3180,61.13,38.87
terry,lucario,877,558,1435,61.11,38.89
ness,fox,2854,1816,4670,61.11,38.89
snake,byleth,2509,1597,4106,61.11,38.89
minmin,darkpit,752,479,1231,61.09,38.91
kingdedede,darkpit,926,590,1516,61.08,38.92
steve,isabelle,1489,949,2438,61.07,38.93
wiifittrainer,joker,2970,1893,4863,61.07,38.93
banjokazooie,pit,436,278,714,61.06,38.94
kingdedede,pit,635,405,1040,61.06,38.94
steve,littlemac,2615,1668,4283,61.06,38.94
bayonetta,corrin,1083,691,1774,61.05,38.95
luigi,random,481,307,788,61.04,38.96
simon,mario,415,265,680,61.03,38.97
littlemac,piranhaplant,1212,774,1986,61.03,38.97
zelda,lucina,1968,1257,3225,61.02,38.98
sora,kirby,1317,842,2159,61.00,39.00
pacman,sheik,508,325,833,60.98,39.02
isabelle,lucina,1130,723,1853,60.98,39.02
luigi,metaknight,1011,647,1658,60.98,39.02
luigi,pikachu,2792,1788,4580,60.96,39.04
bayonetta,kirby,1322,847,2169,60.95,39.05
steve,ridley,1646,1055,2701,60.94,39.06
diddykong,sheik,624,400,1024,60.94,39.06
donkeykong,lucina,2539,1630,4169,60.90,39.10
rob,ganondorf,2651,1703,4354,60.89,39.11
luigi,mario,3778,2427,6205,60.89,39.11
ryu,darkpit,221,142,363,60.88,39.12
sonic,joker,4352,2797,7149,60.88,39.12
mrgameandwatch,marth,1002,644,1646,60.87,39.13
ryu,sora,644,414,1058,60.87,39.13
steve,roy,2722,1750,4472,60.87,39.13
inkling,lucina,3040,1955,4995,60.86,39.14
kazuya,corrin,1467,944,2411,60.85,39.15
sonic,lucina,2295,1478,3773,60.83,39.17
minmin,peach,762,491,1253,60.81,39.19
robin,jigglypuff,1302,839,2141,60.81,39.19
snake,ganondorf,2149,1387,3536,60.77,39.23
ken,mewtwo,567,366,933,60.77,39.23
simon,kingdedede,395,255,650,60.77,39.23
piranhaplant,sheik,429,277,706,60.76,39.24
drmario,lucario,350,226,576,60.76,39.24
steve,chrom,1040,672,1712,60.75,39.25
simon,bowser,540,349,889,60.74,39.26
steve,iceclimbers,970,627,1597,60.74,39.26
steve,bowserjr,1864,1205,3069,60.74,39.26
toonlink,kirby,908,587,1495,60.74,39.26
ken,zerosuitsamus,1095,708,1803,60.73,39.27
drmario,kirby,870,563,1433,60.71,39.29
minmin,lucas,1358,879,2237,60.71,39.29
steve,link,2951,1911,4862,60.70,39.30
inkling,joker,5277,3420,8697,60.68,39.32
ness,lucario,1151,746,1897,60.67,39.33
megaman,piranhaplant,560,363,923,60.67,39.33
sora,rosalina,435,282,717,60.67,39.33
kingdedede,random,535,347,882,60.66,39.34
younglink,random,370,240,610,60.66,39.34
palutena,jigglypuff,3659,2374,6033,60.65,39.35
richter,mrgameandwatch,863,560,1423,60.65,39.35
bowserjr,darkpit,550,357,907,60.64,39.36
bayonetta,pikachu,1755,1140,2895,60.62,39.38
richter,littlemac,782,508,1290,60.62,39.38
simon,byleth,257,167,424,60.61,39.39
bayonetta,pichu,720,468,1188,60.61,39.39
falco,random,540,351,891,60.61,39.39
steve,diddykong,2265,1473,3738,60.59,39.41
kazuya,wolf,2766,1799,4565,60.59,39.41
kazuya,byleth,2615,1701,4316,60.59,39.41
richter,younglink,604,393,997,60.58,39.42
rob,sephiroth,2984,1944,4928,60.55,39.45
steve,sora,2658,1732,4390,60.55,39.45
sonic,random,577,376,953,60.55,39.45
villager,roy,718,468,1186,60.54,39.46
olimar,lucario,207,135,342,60.53,39.47
ryu,sephiroth,579,378,957,60.50,39.50
snake,cloud,5779,3773,9552,60.50,39.50
robin,incineroar,1269,829,2098,60.49,39.51
donkeykong,pyra,3464,2263,5727,60.49,39.51
villager,pichu,312,204,516,60.47,39.53
ryu,marth,333,218,551,60.44,39.56
olimar,falco,615,403,1018,60.41,39.59
miigunner,byleth,537,352,889,60.40,39.60
richter,pokemontrainer,1028,674,1702,60.40,39.60
kazuya,lucario,658,432,1090,60.37,39.63
steve,daisy,562,369,931,60.37,39.63
iceclimbers,sheik,201,132,333,60.36,39.64
fox,darkpit,787,517,1304,60.35,39.65
wiifittrainer,lucina,1432,941,2373,60.35,39.65
miigunner,darkpit,318,209,527,60.34,39.66
